ANO,PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,PF 17% ZONA FRANCA DE MANAUS,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 19%,PF 20%,PF 21%,PF 22%,RESTRIÇÃO HOSPITALAR,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),ÚLTIMA ALTERAÇÃO,COMERCIALIZAÇÃO 2016,TARJA
2017,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA,505107701157215,1018003900019,7896016806469,,,ORENCIA,250 MG PO LIOF INJ CT FA + SER DESC,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"1402,19","1593,4","1689,39","1689,39",,"1699,63","1699,63","1709,99","1709,99",,"1752,74",,,Sim,Não,Sim,,,POSITIVA,,SIM,
2017,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA,505113030019605,1018003900027,7896016807442,,,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENCHIDA,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"1113,17","1264,97","1341,17","1341,17",,"1349,3","1349,3","1357,53","1357,53",,"1391,47",,,Não,Não,Não,,,POSITIVA,,SIM,
2017,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA,505113030019705,1018003900035,7896016807466,,,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENCHIDA,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"4452,74","5059,93","5364,75","5364,75",,"5397,26","5397,26","5430,17","5430,17",,"5565,92",,,Não,Não,Não,,,POSITIVA,,NÃO,
2017,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA,505113030019805,1018003900043,7896016807459,,,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENCHIDA + DISPOSITIVO,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"1113,17","1264,97","1341,17","1341,17",,"1349,3","1349,3","1357,53","1357,53",,"1391,47",,,Não,Não,Não,,,POSITIVA,,NÃO,
2017,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA,505113030019905,1018003900051,7896016807473,,,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENCHIDA + DISPOSITIVO,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"4452,74","5059,93","5364,75","5364,75",,"5397,26","5397,26","5430,17","5430,17",,"5565,92",,,Não,Não,Não,,,POSITIVA,,NÃO,
2017,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA,505113100020405,1018003900061,7896016808180,,,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENC VD TRANS + DISPOS,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"1113,17","1264,97","1341,17","1341,17",,"1349,3","1349,3","1357,53","1357,53",,"1391,47",,,Não,Não,Não,,,POSITIVA,,NÃO,
2017,ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA,505113100020505,1018003900078,7896016808197,,,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENC VD TRANS + DISPOS,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológicos,,,"4452,74","5059,93","5364,75","5364,75",,"5397,26","5397,26","5430,17","5430,17",,"5565,92",,,Não,Não,Não,,,POSITIVA,,SIM,
2017,ABCIXIMABE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507602501155210,1126000100027,7896382701801,,,REOPRO,2 MG/ML SOL INJ CT FA VD INC X 5 ML,B01C3 - INIBIDORES DA AGREGAÇÃO PLAQUETÁRIA,Biológicos,,,"1821,79","2070,21","2194,92","2194,92",,"2208,22","2208,22","2221,69","2221,69",,"2277,23",,,Sim,Não,Não,,,POSITIVA,,SIM,
2017,ACARBOSE,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531613701110411,1356900350083,7894916503761,,,AGLUCOSE,100 MG COM CT 3 BL AL PVDC LEIT X 10,A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUC,Biológicos,,,"27,09","30,79","32,64","32,64",,"32,84","32,84","33,04","33,04",,"33,87",,,Não,Não,Não,,,POSITIVA,,SIM,
2017,ACARBOSE,18.459.628/0001-15,BAYER S.A.,538912050014313,1705600740091,7891106001748,,,GLUCOBAY,100 MG COM CT BL AL/AL X 30,A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUC,Biológicos,,,"42,31","48,08","50,98","50,98",,"51,29","51,29","51,6","51,6",,"52,89",,,Não,Não,Não,,,POSITIVA,,SIM,
